上市 ns N
6 m N
年 m N
， x N
凯越 x Y
销量 n N
突破 vn N
100 m N
万台 m N
。 x N
因为 c N
我们 r N
刚刚 d N
从 p N
工信 vn N
部 n N
燃料 n N
消耗 n N
信息网 n N
上 f N
得知 v N
， x N
上汽大众 x Y
全新 d N
途观 x Y
保留 v N
手动挡 n N
车型 n N
， x N
就是说 c N
全新 d N
途观 x Y
还是 c N
有 v N
保留 v N
入门 ns N
版 n N
的 uj N
车型 n N
， x N
价格 n N
可能 v N
会 v N
贵 a N
， x N
但 c N
起码 n N
有个 r N
低 a N
门槛 n N
的 uj N
在 p N
， x N
不 d N
像 v N
上次 t N
上市 ns N
的 uj N
新款 n N
RAV4 x N
  x N
荣放 x N
， x N
直接 ad N
取消 v N
了 ul N
手动挡 n N
。 x N
一个 m N
发展中国家 l N
， x N
发展 vn N
汽车 n N
工业 n N
， x N
借鉴 v N
参考 v N
本 r N
无可厚非 i N
， x N
F3 x Y
无论 c N
外观 n N
内饰 n N
和 c N
花冠 n Y
几乎 d N
是 v N
一模一样 l N
的 uj N
， x N
价格 n N
却 d N
只有 c N
花冠 n Y
的 uj N
一般 a N
， x N
而 c N
这样 r N
的 uj N
车 n N
居然 d N
还 d N
能 v N
大摇大摆 i N
的 uj N
销售 vn N
， x N
只能 v N
说 v N
这 r N
是 v N
一个 m N
漠视 n N
知识产权 n N
的 uj N
过度 n N
， x N
与 p N
此类 r N
似的 u N
， x N
还有 v N
双环 n Y
， x N
那个 r N
山寨 ns N
的 uj N
X5 x N
居然 d N
还 d N
敢 v N
跑 v N
德国 ns N
去 v N
参加 v N
车展 j N
， x N
还有 v N
那 r N
山寨 ns N
的 uj N
SMART eng N
。 x N
后 f N
排空 n N
间 f N
不是 c N
很 zg N
充足 a N
， x N
不过 c N
对于 p N
不 d N
经常 d N
载人 n N
的话 u N
可以 c N
不 d N
考虑 v N
， x N
后备 n N
厢 n N
没有 v N
像 v N
Q5 x Y
那样 r N
电动 n N
的 uj N
， x N
如果 c N
是 v N
女生 n N
那 r N
会 v N
有点 n N
吃力 n N
： x N
车 n N
漆软 z N
前面 f N
去 v N
看 v N
了 ul N
汉兰达 x Y
， x N
加价 v N
2.5 m N
万 m N
。 x N
然后 c N
锐界 x Y
1 m N
万 m N
。 x N
就 d N
直接 ad N
pass eng N
。 x N
还 d N
看 v N
了 ul N
昂科威 x Y
， x N
啥 r N
